Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Skylar Mays,SG,23,ATL,10,68,19.3,0.605,0.444,0.37,4.8,7.8,6.3,16,1.4,0,3.1,20.3,0.2,0,0.3,0.19,4.3,-0.5,3.8,0.1
CJ McCollum,SG,29,POR,13,440,26.4,0.62,0.55,0.173,1.6,11.1,6.2,25.8,1.9,0.8,4.4,28.5,1.9,0.2,2.1,0.23,7.7,-0.7,6.9,1
T.J. McConnell,PG,28,IND,26,623,15.2,0.52,0.115,0.086,3.2,12,7.7,36.3,3.5,1.4,23.8,13.2,0.6,0.9,1.5,0.117,-0.4,2,1.7,0.6
Jaden McDaniels,PF,20,MIN,23,431,8,0.498,0.534,0.127,3.6,16.3,9.6,7.3,0.9,4.8,13.2,14,-0.2,0.4,0.1,0.014,-4.5,-0.1,-4.6,-0.3
Jalen McDaniels,SF,23,CHA,10,108,7.2,0.542,0.273,0.333,3.9,17.1,10.4,7.9,0.9,0,19.2,18.4,-0.1,0.1,0,-0.004,-5,-2.2,-7.2,-0.1
Doug McDermott,PF,29,IND,28,733,13.8,0.607,0.429,0.156,4.3,12.8,8.6,7.7,0.5,0.2,9.1,19.6,0.9,0.4,1.4,0.089,0.5,-2.2,-1.7,0.1
Sean McDermott,SF,24,MEM,6,92,7.6,0.656,0.733,0.267,3.5,6.2,4.8,4,0.5,1,15.2,9.1,0.1,0,0.1,0.059,-2.5,-2.2,-4.7,-0.1
JaVale McGee,C,33,DEN,20,313,16.5,0.502,0.119,0.326,11.6,28.6,19.8,10.4,1.4,7,13.9,24.6,-0.2,0.5,0.3,0.049,-2.7,0.5,-2.2,0
Rodney McGruder,SG,29,DET,8,64,11.1,0.591,0.368,0.158,5.1,11,7.9,14.5,0,1.4,16.4,16.4,0.1,0,0.1,0.056,-0.9,-1.7,-2.5,0
Alfonzo McKinnie,SF,28,LAL,14,44,22.7,0.704,0.313,0.25,15.8,14.7,15.3,3.5,1.1,0,5.3,18.5,0.2,0.1,0.2,0.254,4.6,-1.2,3.4,0.1
Jordan McLaughlin,PG,24,MIN,17,310,13.1,0.459,0.255,0.096,3,10.6,6.6,35.5,2.6,0.8,17,16,0.1,0.2,0.3,0.052,-1.5,-0.4,-1.9,0
Ben McLemore,SG,27,LAL,20,303,8.6,0.517,0.722,0.157,2.4,12.7,7.5,9.3,1.9,0.3,14.6,20.2,-0.3,0.4,0.1,0.012,-3.1,-0.9,-4,-0.2
Nicolo Melli,PF,30,DAL,13,137,5.8,0.43,0.786,0.179,1.6,20.3,10.9,10.7,2.1,0.8,16.6,11.3,-0.1,0.1,0,0.009,-4.8,1,-3.8,-0.1
De'Anthony Melton,PG,22,MEM,12,258,15.6,0.58,0.43,0.08,1.7,14.1,7.7,21.2,2,4.3,14.1,19.8,0.2,0.3,0.5,0.094,0,1.3,1.2,0.2
Sam Merrill,SG,24,MIL,9,55,12.5,0.643,0.8,0.2,5.9,13.1,9.6,21,0.9,0,21.6,10.6,0.1,0,0.2,0.14,1.1,-0.8,0.3,0
Chimezie Metu,C,23,SAC,11,71,20.3,0.545,0.1,0.3,16.8,18.7,17.7,10.6,2,7.1,15,24,0.1,0.1,0.1,0.089,-0.7,-0.5,-1.3,0
Khris Middleton,SF,29,MIL,28,924,20.1,0.632,0.376,0.224,2.4,16,9.3,24.8,1.5,0.4,13.6,23.7,2.5,0.9,3.4,0.177,3.5,-0.6,3,1.2
Patty Mills,PG,32,SA,27,687,14.7,0.598,0.618,0.124,1,6.8,3.8,15.6,1.2,0.1,8,20.2,1,0.5,1.5,0.106,1.6,-1.5,0.1,0.4
